Id,UnitsPerBox,BoxType
51951,NULL,NULL
51952,NULL,NULL
51955,NULL,NULL
51957,NULL,NULL
51963,NULL,NULL
52002,NULL,NULL
52003,NULL,NULL
52008,NULL,2
52011,NULL,NULL
52012,NULL,NULL
52013,NULL,NULL
52014,NULL,NULL
52015,12,1
52018,NULL,NULL
52019,NULL,NULL
52020,NULL,NULL
52023,NULL,NULL
52024,NULL,NULL
52030,NULL,2
52031,NULL,2
52032,NULL,NULL
52072,NULL,NULL
52074,NULL,NULL
52075,NULL,NULL
52077,NULL,NULL
52081,NULL,2
52087,NULL,NULL
52115,NULL,NULL
52116,NULL,NULL
52117,NULL,NULL
52119,NULL,NULL
52125,NULL,NULL
52128,NULL,NULL
52129,NULL,NULL
52136,NULL,NULL
52142,NULL,NULL
52143,NULL,NULL
52144,NULL,NULL
52146,NULL,NULL
52166,NULL,2
52170,NULL,NULL
52178,NULL,NULL
52199,NULL,NULL
52220,12,1
52232,NULL,NULL
52233,NULL,NULL
52234,NULL,NULL
52237,NULL,NULL
52241,NULL,NULL
52243,NULL,NULL
52252,NULL,NULL
52253,NULL,NULL
52255,NULL,NULL
52284,0,2
52285,NULL,2
52286,NULL,2
52287,NULL,2
52288,NULL,2
52289,0,2
52290,NULL,NULL
52304,12,1
52305,12,1
52311,NULL,NULL
52326,NULL,NULL
52329,NULL,NULL
52342,NULL,NULL
52345,NULL,NULL
52349,NULL,NULL
52356,NULL,NULL
52357,NULL,NULL
52360,12,1
52363,NULL,NULL
52368,NULL,NULL
52372,NULL,NULL
52378,NULL,NULL
52379,NULL,NULL
52381,NULL,NULL
52383,NULL,NULL
52388,NULL,NULL
52390,NULL,NULL
52399,NULL,NULL
52402,NULL,NULL
52408,NULL,NULL
52409,NULL,NULL
52423,NULL,NULL
52424,NULL,NULL
52425,NULL,NULL
52426,NULL,NULL
52427,NULL,NULL
52428,NULL,NULL
52430,NULL,NULL
52433,NULL,NULL
52439,NULL,NULL
52441,NULL,NULL
52442,NULL,NULL
52443,NULL,NULL
52458,NULL,NULL
52459,NULL,NULL
52463,NULL,NULL
52467,NULL,NULL
52470,NULL,NULL
52473,NULL,NULL
52483,NULL,NULL
52487,NULL,NULL
52491,NULL,NULL
52492,NULL,NULL
52501,NULL,NULL
52504,NULL,NULL
52505,NULL,NULL
52506,NULL,NULL
52509,NULL,NULL
52510,NULL,NULL
52511,NULL,NULL
52512,NULL,NULL
52513,NULL,NULL
52514,NULL,NULL
52515,NULL,NULL
52517,NULL,NULL
52518,NULL,NULL
52520,NULL,NULL
52521,NULL,NULL
52525,NULL,NULL
52530,NULL,NULL
52533,NULL,NULL
52541,NULL,NULL
52543,NULL,NULL
52547,NULL,NULL
52548,NULL,NULL
52569,NULL,NULL
52573,NULL,NULL
52577,NULL,NULL
52592,NULL,NULL
52594,NULL,NULL
52600,NULL,NULL
52601,NULL,NULL
52606,NULL,NULL
52630,NULL,NULL
52631,NULL,NULL
52661,NULL,NULL
52677,NULL,NULL
52679,NULL,NULL
52700,NULL,NULL
52702,NULL,NULL
52704,NULL,NULL
52741,NULL,NULL
52751,NULL,NULL
52752,NULL,NULL
52759,NULL,NULL
52762,NULL,NULL
52764,NULL,NULL
52772,NULL,NULL
52773,NULL,NULL
52791,NULL,NULL
52792,NULL,NULL
52809,NULL,NULL
52810,NULL,NULL
52811,NULL,NULL
52812,NULL,NULL
52813,NULL,NULL
52814,NULL,NULL
52815,NULL,NULL
52816,NULL,NULL
52817,NULL,NULL
52818,NULL,NULL
52819,NULL,NULL
52820,NULL,NULL
52821,NULL,NULL
52825,NULL,NULL
52829,NULL,NULL
52830,NULL,NULL
52831,NULL,NULL
52832,NULL,NULL
52833,NULL,NULL
52834,NULL,NULL
52835,NULL,NULL
52836,NULL,NULL
52837,NULL,NULL
52838,NULL,NULL
52839,NULL,NULL
52840,NULL,NULL
52841,NULL,NULL
52842,NULL,NULL
52843,NULL,NULL
52844,NULL,NULL
52845,NULL,NULL
52846,NULL,NULL
52847,NULL,NULL
52848,NULL,NULL
52849,NULL,NULL
52850,NULL,NULL
52851,NULL,NULL
52852,NULL,NULL
52853,NULL,NULL
52854,NULL,NULL
52855,NULL,NULL
52856,NULL,NULL
52857,NULL,NULL
52866,NULL,NULL
52870,NULL,NULL
52871,NULL,NULL
52872,NULL,NULL
52873,NULL,NULL
52877,NULL,NULL
52878,NULL,NULL
52879,NULL,NULL
52880,NULL,NULL
52881,NULL,NULL
52882,NULL,NULL
52883,NULL,NULL
52884,NULL,NULL
52885,NULL,NULL
52886,NULL,NULL
52887,NULL,NULL
52888,NULL,NULL
52889,NULL,NULL
52890,NULL,NULL
52891,NULL,NULL
52892,NULL,NULL
52893,NULL,NULL
52894,NULL,NULL
52895,NULL,NULL
52896,NULL,NULL
52897,NULL,NULL
52901,NULL,NULL
52908,NULL,NULL
52909,NULL,NULL
52929,NULL,NULL
52932,NULL,NULL
52933,NULL,NULL
52934,NULL,NULL
52935,NULL,NULL
52936,NULL,NULL
52938,NULL,NULL
52939,NULL,NULL
52940,NULL,NULL
52941,NULL,NULL
52942,NULL,NULL
52943,NULL,NULL
52944,NULL,NULL
52945,NULL,NULL
52946,NULL,NULL
52951,NULL,NULL
52954,NULL,NULL
52955,NULL,NULL
52956,NULL,NULL
52978,NULL,NULL
52981,NULL,NULL
52982,NULL,NULL
52992,NULL,NULL
52993,NULL,NULL
53018,NULL,NULL
53019,NULL,NULL
53020,NULL,NULL
53024,NULL,NULL
53025,NULL,NULL
53026,NULL,NULL
53036,NULL,NULL
53037,NULL,NULL
53038,NULL,NULL
53046,NULL,NULL
53047,NULL,NULL
53052,NULL,NULL
53053,NULL,NULL
53065,NULL,NULL
53066,NULL,NULL
53078,NULL,NULL
53085,NULL,NULL
53106,NULL,NULL
53107,NULL,NULL
53108,NULL,NULL
53118,NULL,NULL
53120,NULL,NULL
53125,NULL,NULL
53128,NULL,NULL
53132,NULL,NULL
53134,NULL,NULL
53135,NULL,NULL
53140,NULL,NULL
53143,NULL,NULL
53148,NULL,NULL
53191,NULL,NULL
53231,NULL,NULL
53233,NULL,NULL
