Descrição;Placa do Veículo;Última Quilometragem;Quantidade de Baias;Tamanho da baia;Perfil do veículo;Tipo do veículo;Transportadora;Baias Personalizadas
CARRETA;AVZ7129;88888;28;42;Frota Fixa;;Fabio Alves da Silveira;Não
empurrada;awb0979;55555;28;28;Frota Fixa;;Fabio Alves da Silveira;Não
CARRETA;AWB1127;0;26;42;Frota Fixa;;Fabio Alves da Silveira;Não
CARRETA;AWD9059;0;28;42;Freteiro;;Fabio Alves da Silveira;Não
0764;AWH1033;0;28;42;Frota Fixa;;Ambev;Não
AWH1616;AWH1616;556;28;42;Frota Fixa;;Ambev;Não
0764;AWO2242;0;28;42;Frota Fixa;;Ambev;Não
EMPURRADA;AXY6039;0;28;42;Frota Fixa;;Fabio Alves da Silveira;Não
EMPURRADA;AXY6057;0;28;42;Frota Fixa;;Fabio Alves da Silveira;Não
CARRETA;AYQ5087;11111;28;42;Frota Fixa;;Fabio Alves da Silveira;Não
0764;AYQ5089;1;26;28;Freteiro;;Ambev;Não
0764;AYQ5090;0;28;42;Frota Fixa;;Ambev;Não
CARRETA;AYQ5091;5555;26;42;Freteiro;;Ambev;Não
0764;AYQ5092;0;28;42;Frota Fixa;;Ambev;Não
CARRETA;AYQ5093;4444;28;42;Frota Fixa;;Fabio Alves da Silveira;Não
carreta;ayv2113;5555;28;42;Freteiro;;Fabio Alves da Silveira;Não
0764;AZB1065;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;AZI8834;0;28;42;Frota Fixa;;Ambev;Não
0764;AZT8A01;0;28;42;Frota Fixa;;Ambev;Não
0764;AZT8A02;5555;28;28;Frota Fixa;;Fabio Alves da Silveira;Não
0764;BAA1451;0;28;42;Frota Fixa;;Ambev;Não
0764;BAC2551;5555;26;28;Freteiro;;Ambev;Não
0764;BAC2558;55555;26;28;Freteiro;;Ambev;Não
0764;BAS8551;9595;26;42;Freteiro;;Ambev;Não
0764;BAS8552;11;26;28;Freteiro;;Ambev;Não
0764;BAS8553;555555;26;42;Freteiro;;Ambev;Não
0764;BAS8554;555;26;28;Freteiro;;Ambev;Não
EMPURRADA;BAS8757;555;28;28;Frota Fixa;;Fabio Alves da Silveira;Não
0764;BAS8847;0;26;28;Freteiro;;Ambev;Não
0764;BAS8849;0;26;42;Freteiro;;Ambev;Não
CSC INVOICE;BAT2019;0;8;42;Frota Fixa;;BATCH BRINDES DISTR. E LOGiSTICA LTDA;Não
CSC INVOICE;BAT2020;0;8;42;Frota Fixa;;BATCH BRINDES DISTR. E LOGiSTICA LTDA;Não
CDD GUARULHOS;BAW4491;55555;28;42;Frota Fixa;;Fabio Alves da Silveira;Não
EMPURRADA;BAY2925;5555555;28;42;Freteiro;;Fabio Alves da Silveira;Não
carreta;bay2930;4444;28;42;Freteiro;;Fabio Alves da Silveira;Não
CARRETA;BBG7791;0;28;42;Freteiro;;Fabio Alves da Silveira;Não
0764;BBH4409;0;26;42;Freteiro;;Ambev;Não
0764;BBI6631;5555;26;42;Freteiro;;Ambev;Não
0764;BBK1489;0;28;42;Frota Fixa;;Ambev;Não
0764;BBL2218;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BBN2382;0;28;42;Frota Fixa;;Ambev;Não
0764;BBN3605;1234;26;28;Freteiro;;Ambev;Não
0764;BBP3993;5555;26;28;Freteiro;;Ambev;Não
0764;BBQ9439;0;28;42;Frota Fixa;;Ambev;Não
0764;BBQ9440;0;28;42;Frota Fixa;;Ambev;Não
;BBT5428;0;18;42;Frota Fixa;;Fabio Alves da Silveira;Não
0764;BCJ8B67;0;14;42;Frota Fixa;;TAIPASTUR TRANSPORTES TURISTICOS LTD;Não
0764;BCN8506;0;28;42;Frota Fixa;;Ambev;Não
CARRETA;BCO4364;0;28;42;Frota Fixa;;Ambev;Não
EMPURRADA;BCO6275;5555;28;28;Frota Fixa;;Fabio Alves da Silveira;Não
EMPURRADA;BCQ2294;0;28;28;Frota Fixa;;Fabio Alves da Silveira;Não
0764;BCR9G26;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BCS6I02;2424;2;42;Frota Fixa;;Ambev;Não
0764;BCT5A32;0;28;42;Frota Fixa;;Ambev;Não
0764;BCT5A62;0;28;42;Frota Fixa;;Ambev;Não
0764;BCT5A66;0;28;42;Frota Fixa;;Ambev;Não
0764;BCW5A95;0;28;42;Frota Fixa;;Ambev;Não
0764;BCW5A96;0;28;42;Frota Fixa;;Ambev;Não
0764;BCX0E81;0;28;42;Frota Fixa;;Ambev;Não
EMPURRADA;BCX8F34;555;28;28;Frota Fixa;;Fabio Alves da Silveira;Não
0764;BCZ6113;0;28;42;Frota Fixa;;Ambev;Não
0764;BDB4D86;0;28;42;Frota Fixa;;Ambev;Não
0764;BDC0G91;0;28;42;Frota Fixa;;Ambev;Não
0764;BDD5D86;0;28;42;Frota Fixa;;Ambev;Não
0764;BDE6E19;0;28;42;Frota Fixa;;Ambev;Não
CARRETA;BDF6D91;0;28;42;Frota Fixa;;Ambev;Não
0764;BDF7C14;0;28;42;Frota Fixa;;Ambev;Não
0764;BDI4C54;0;28;42;Frota Fixa;;Ambev;Não
0764;BDK8H35;0;28;42;Frota Fixa;;Ambev;Não
0764;BDM7B95;0;28;42;Frota Fixa;;Ambev;Não
CARRETA;BDN9D17;0;28;42;Frota Fixa;;Ambev;Não
EMPURRADA;BDP2D59;555;28;28;Frota Fixa;;Fabio Alves da Silveira;Não
CARRETA;BDZ2A31;0;28;42;Frota Fixa;;Ambev;Não
0764;BDZ9F28;0;28;28;Frota Fixa;;VERDE CAMPOS137;Não
CARRETA;BEA6F02;0;28;42;Frota Fixa;;Ambev;Não
