"ST_CODUNITY"/"ST_ACSESS2A"/"ST_CODANT"/"ST_CODSAP60"/"ST_CODDV"/"ST_PERVPROMAX"/"ST_ORIGINZONE"/"ST_CODSAPHANA"/"ST_DESCUNITY"/"ST_DESCUNITY2"/"ST_DESCUNITYSAP"/"ST_DESCUNITYPROMAX"/"ST_DESCGEO"/"ST_DESCREGIONALIZ"/"ST_CLIENTTYPE"/"ST_CITY"/"ST_STATE"/"ST_ACTIVE"/"ST_DTOPERATIONSTART"/"ST_DTVALIDITYOPERATION"/"Load_date"/"DATA_INATIVACAO"
"46"/"30046"/"236"/BR1S/G000000469/acprxne/BRBA0390CD/BRAE/CDD Lapa/Com  CDD Lapa/CDC Lapa DC/CDD Lapa/Geo NE/Geo NE/CDD/BOM JESUS DA LAPA/BA/1///2025-12-10/
"85"/"30085"/"85"/BR4I/G000000850/acprxrj/BRRJ0340CD/BRBQ/CD Nova Friburg/ComCddNvFrib/CDD Nova Friburgo DC/CDD Nova Friburgo/"Geo RJ/ES"/"Geo RJ/ES"/CDD/NOVA FRIBURGO/RJ/1///2025-12-10/
"209"/"30209"/"209"/BR5O/G000002097/acprxpr//BRCC/CDD S J Pinhais/CDD SJ Pinhais/CDD S J Pinhais DC/CDD S J Pinhais/Geo SUL/Geo SUL/CDD/SAO JOSE DOS PINHAIS/PR/1/2015-06-01/2015-08-30/2025-12-10/
"39"/"810039"/"39"/BR4B/G000000393/acprxco/BRDF0010CD/BRAC/CDD F. Brasilia/Com CD Brasilia-BR/CDD Brasilia Int DC/CDD Brasilia-BR/Geo CO/Geo CO/CDD/BRASILIA/DF/1///2025-12-10/
"956"/"30956"/"171"/BR6S/G000009563/acprxpr/BRSP4340CD/BRD1/CDD Rib. Preto/Com CD R. Preto/Ambev S.A. - CDD Ribeirao Preto/CDD Ribeirao Preto/Geo SP/Geo SP/CDD/RIBEIRAO PRETO/SP/1///2025-12-10/
"986"/"30986"/"986"/BR4H/G000009865/acprxmg/BRSP0120CD/BRBP/CDD Cachoeiro/COMCDDCachoeiro/CDD Cachoeiro DC/CDD Cachoeiro/"Geo RJ/ES"/"Geo RJ/ES"/CDD/CACHOEIRO DE ITAPEMIRIM/ES/1///2025-12-10/
"555"//"555"/BR8I////BRDM/Ambev Varejo SP/Ambev Varejo SP/Ambev Varejo SP/Ambev Varejo SP/Geo SP/Geo SP/CDD/São Paulo/SP/1///2025-12-10/
"539"/"30539"/"626"/BR2J/G000005398/acprxrj/BRRJ0100CD/BRAU/CDD Campos/Com CD Campos/CDD Campos DC/CDD Campos/"Geo RJ/ES"/"Geo RJ/ES"/CDD/CAMPOS DOS GOYTACAZES/RJ/1///2025-12-10/
"401"/"810401"/"401"/BR7T//acprxsp//BRDI/CDD Sâo Paulo/CDD Sâo Paulo/CDD Sâo Paulo/CDD Sâo Paulo/Geo SP/Geo SP/CDD/SAO PAULO/SP/1///2025-12-10/
"906"//"906"/BR2X////BRB8/CDD AS BH/CDD AS BH/CDD AS BH//GEO MG/GEO MG/CDD/Belo Horizonte/MG/1///2025-12-10/
"538"/"30538"/"550"/BR2H/G000005380/acprxrj/BRRJ0455CF/BRAS/CDD Jacarepagua/Com CDD Jacarep/CDD Jacarepagua DC/CDD Jacarepagua/"Geo RJ/ES"/"Geo RJ/ES"/CDD/RIO DE JANEIRO/RJ/1///2025-12-10/
"189"/"30189"/"189"/BR5N/G000001899/acprxmg//BRCB/CDD Sete Lagoas/ComCDD Sete Lag/CDD Sete Lagoas DC/CDD Sete Lagoas/Geo MG/Geo MG/CDD/SETE LAGOAS/MG/1/2015-06-01/2015-08-30/2025-12-10/
"326"//"326"/BR5Z//acprxmg//BR52/CDD Walls/CDD Walls/CDD Walls/CDD Walls/Geo MG/Geo MG/CDD/BELO HORIZONTE/MG/1///2025-12-10/
"543"/"30543"/"543"/BR6R/G000005436/acprxpr/BRSP4140CD/BRD0/CDD P Prudente/CDD Presidente Prudente/Ambev S.A. - CDD Presidente Prudente/CDD Presid Prudente/Geo SP/Geo SP/CDD/PRESIDENTE PRUDENTE/SP/1/2014-07-28/2014-10-26/2025-12-10/
"484"//"484"/BR8G////BR8G/CDD Moema DC/CDD Moema DC/CDD Moema DC/CDD Moema DC/Geo SP/Geo SP/CDD/São Paulo/SP/1///2025-12-10/
"137"/"30137"/"137"/BR6X/G000001376/acprxsp/BRSP1870CD/BRD6/CDD Centro SP/ComCDDCentroSP/Ambev S.A. - CDD Centro SP/CDD Centro SP/Geo SP/Geo SP/CDD/São Paulo/SP/1///2025-12-10/
"546"/"810546"/"546"/BR2E/G000005460/acprxne/BRPE0960CD/BRAP/CDD Olinda/Com CD Nordeste/CDD Olinda DC/CDD Olinda/Geo NE/Geo NE/CDD/OLINDA/PE/1///2025-12-10/
