Id,ItemId,ItemCode,ItemDescription,Type,Height,Width,Length,HiveQuantity,HiveDiameter,Active,WarehouseId
--,------,--------,---------------,----,------,-----,------,------------,------------,------,-----------
1,d326662d-0876-468a-b8dd-049a0c5c8236,103331,GARRAFEIRA PLAST,24 GFA 600ML,ANTARCTICA,,0,30.00,51.00,31.00,0,0.00,0,437
2,73683790-47dc-42dd-a5ac-a3dd00f537ee,188005,GRFEPLAS1L AMBEV,0,30.00,30.00,40.00,12,9.50,1,437
3,036110f8-65dc-48ba-8692-aeac00e29658,563890,CAIXA PRETA ,PARA TRANSPORTE,,0,31.00,30.00,55.00,0,0.00,1,437
4,d326662d-0876-468a-b8dd-049a0c5c8236,103331,GARRAFEIRA PLAST,24 GFA 600ML,ANTARCTICA,,0,30.00,51.00,31.00,0,0.00,0,447
5,73683790-47dc-42dd-a5ac-a3dd00f537ee,188005,GRFEPLAS1L AMBEV,0,30.00,30.00,40.00,12,9.50,1,447
6,036110f8-65dc-48ba-8692-aeac00e29658,563890,CAIXA PRETA ,PARA TRANSPORTE,,0,31.00,30.00,55.00,0,0.00,1,447
7,d326662d-0876-468a-b8dd-049a0c5c8236,103331,GARRAFEIRA PLAST,24 GFA 600ML,ANTARCTICA,,0,30.00,51.00,31.00,0,0.00,0,152
8,73683790-47dc-42dd-a5ac-a3dd00f537ee,188005,GRFEPLAS1L AMBEV,0,30.00,30.00,40.00,12,9.50,1,152
9,036110f8-65dc-48ba-8692-aeac00e29658,563890,CAIXA PRETA ,PARA TRANSPORTE,,0,31.00,30.00,55.00,0,0.00,1,152
13,d326662d-0876-468a-b8dd-049a0c5c8236,103331,GARRAFEIRA PLAST,24 GFA 600ML,ANTARCTICA,,0,30.00,51.00,31.00,0,0.00,0,426
14,73683790-47dc-42dd-a5ac-a3dd00f537ee,188005,GRFEPLAS1L AMBEV,0,30.00,30.00,40.00,12,9.50,1,426
15,036110f8-65dc-48ba-8692-aeac00e29658,563890,CAIXA PRETA ,PARA TRANSPORTE,,0,31.00,30.00,55.00,0,0.00,1,426
16,d326662d-0876-468a-b8dd-049a0c5c8236,103331,GARRAFEIRA PLAST,24 GFA 600ML,ANTARCTICA,,0,30.00,51.00,31.00,0,0.00,0,481
17,73683790-47dc-42dd-a5ac-a3dd00f537ee,188005,GRFEPLAS1L AMBEV,0,30.00,30.00,40.00,12,9.50,1,481
