Mapa: 622390 Veículo: FUW5335
Produtos: 470
Lado Motorista: 1913.31 (50.49%)
Lado Ajudante: 1876.23 (49.51%)
Cálculo Rota
--------------------------------------------------------------------------------------------------------------------------------------------
Pallet        L      Código UN  Entrega Nome                                            Qtd Embalagem Grp/Sub       Peso Atributo        Ocupação   
-----------   - ----------- -- -------- ------------------------------------------ -------- --------- ------- ---------- ------------- ----------- 

P01_A_01_1/35 - 29.00 - 1|15 - 327  Peso: 799.62
            | 0       11110         SKOL LATA 550ML SHRINK C/12                          15 4000 40/4000          99.00 Descartável          3.59 | 
            | 0       20498         BRAHMA DUPLO MALTE LT SLEEK 350ML SH C 12             7 4000 40/4000          30.80 Descartável          1.05 | 
            | 0       21658         SPATEN LATA SLEEK 350ML CX CART C 12                  4 4000 40/4000          18.00 Descartável          0.60 | 
            | 0       9083          SKOL LT 473ML SH C/12 NPAL                            3 4000 40/4000          17.73 Descartável          0.53 | 
            | 0       18807         STELLA ARTOIS LONG NECK 330ML  SIX-PACK SH            6 3000 30/3000          78.60 Descartável          2.91 | 
            | 0       18836         C/24 Corona LONG NECK 330ml                           3 3000 30/3000          40.50 Descartável          1.45 | 
            | 0       371           MALZBIER BRAHMA LONG NECK 355ML SIX-PACK C            2 3000 30/3000          27.88 Descartável          1.00 | 
            | 0       33738         BEATS RED MIX LONG NECK 269ML SIX-PACK SH             1 3000 30/3000           5.75 Descartável          0.23 | 
            | 0       19229         RED BULL BR LATA 250ML C/6  SIX PACK NPAL            38 4001 40/4001          66.12 TopoPallet           2.97 | 
            | 0       19231         RED BULL SUGAR FREE BR LATA 250ML FOUR PAC            3 4001 40/4001           3.48 TopoPallet           0.14 | 
            | 0       21666         RED BULL TROPICAL BR LATA 250ML FOUR PACK             3 4001 40/4001           3.48 TopoPallet           0.14 | 
            | 0       32969         RED BULL SUMMER MORANGO E PESSEGO LATA 250            2 4001 40/4001           2.32 TopoPallet           0.09 | 
            | 0       24306         RED BULL MELANCIA LATA 250ML FOUR PACK NPA            2 4001 40/4001           2.28 TopoPallet           0.09 | 
            | 0       30045         RED BULL BR LATA 473ML CX C 12                        2 4000 40/4000          12.80 TopoPallet           0.54 | 
            |                                                                                                                                     |
            |=====================================================================================================================================|
